#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="lambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter id="lambda" lower="0.0" name="x">54.1667</parameter>
#            <distr id="OneOnX" spec="beast.math.distributions.OneOnX"/>
#        </distribution>
#        <snapprior id="snapprior" lambda="@lambda" name="distribution" rateprior="gamma">
#            <parameter id="alpha" lower="0.0" name="alpha">2.0</parameter>
#            <parameter id="beta" lower="0.0" name="beta">20.0</parameter>
#            <parameter id="kappa" lower="0.0" name="kappa">34.6574</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="tree" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snapalignment" spec="snap.Data" statecount="3">
#                    <sequence id="Sequence" taxon="A" totalcount="3">2,2,1,0,2,2,0,0,2,2,0,2,0,0,0,1,0,2,0,2,</sequence>
#                    <sequence id="Sequence1" taxon="B" totalcount="3">2,0,2,1,2,2,0,0,2,0,1,2,0,0,0,0,0,0,0,1,</sequence>
#                    <sequence id="Sequence2" taxon="C" totalcount="3">0,0,2,0,1,2,0,1,0,2,0,1,0,0,1,0,0,2,0,2,</sequence>
#                    <sequence id="Sequence3" taxon="D" totalcount="3">2,0,2,0,2,0,2,0,0,2,0,2,1,2,2,0,2,2,2,2,</sequence>
#                </taxa>
#            </tree>
#        </snapprior>
#    </distribution>
#    <snaptreelikelihood data="@snapalignment" id="treeLikelihood" name="distribution" non-polymorphic="false" pattern="rate" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel coalescenceRate="@coalescenceRate" id="SnapSubstitutionModel" spec="snap.likelihood.SnapSubstitutionModel">
#                <parameter id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#            </substModel>
#        </siteModel>
#    </snaptreelikelihood>
#</input>
#
Sample	u	v	prior	lambdaPrior	treeLikelihood	P0	P1	posterior	lambda	coalescenceRate1	coalescenceRate2	coalescenceRate3	coalescenceRate4	coalescenceRate5	coalescenceRate6	coalescenceRate7	theta0	theta1	theta2	theta3	theta4	theta5	theta6	tree.height	tree.length
0	1.0	1.0	-134.0729321755766	-3.9920663284861084	-76.79079613019464	0.09549415093344346	0.09549415093344359	-210.86372830577125	54.1667	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3454032787881773	1.212973614410216
100	1.0	1.0	-89.18113153273433	-3.9920663284861084	-69.40307019542321	0.4098791129284361	0.4098791129284372	-158.58420172815755	54.1667	86.50708871068016	65.65694383099111	16.657392425191848	189.00638796600487	75.3179411614365	32.93270634808161	64.18087358246302	0.02311949263127936	0.030461363007517395	0.12006681171629811	0.010581652935242193	0.026554098122692965	0.060729901115961694	0.03116193171522187	0.02964692058437587	0.09378779843883528
200	1.0	1.0	-85.63058076128092	-3.9920663284861084	-70.14489045321395	0.4118458909302994	0.41184589093029694	-155.77547121449487	54.1667	145.49894491747793	119.27011235887885	16.612168935911313	77.69424295946962	35.75883307303909	20.67965517798918	58.699801029652065	0.013745804144039205	0.016768660316023535	0.12039367091171974	0.02574193304185138	0.05593023675898222	0.09671341145614176	0.0340716657453354	0.024502648710335126	0.06533211155518373
300	1.0	1.0	-80.32964795586318	-3.9920663284861084	-75.20825619242902	0.3966993490738462	0.3966993490738484	-155.5379041482922	54.1667	33.35046306990865	34.78803481748158	7.713021978390544	34.526629686541405	57.56454352679345	21.216838249465656	66.86776003574941	0.0599691823111312	0.05749103134147048	0.2593017374517238	0.05792630262952096	0.03474360912927415	0.09426475219748492	0.029909780123197532	0.03504688464899956	0.08469110548973052
400	1.0	1.0	-77.7537994532461	-3.9920663284861084	-77.3171085262108	0.42657086972685104	0.42657086972685465	-155.0709079794569	54.1667	11.35104354310833	21.631936473593196	16.98688232024798	48.66012646339949	48.706949252854514	43.65083238637511	68.56186945122134	0.17619525397858943	0.09245589281576638	0.11773790871654213	0.04110141393702157	0.0410619024734502	0.04581814115930278	0.02917073317878109	0.01667795883338556	0.0468077243640221
500	1.0	1.0	-90.00964334835845	-3.9920663284861084	-69.9437267115916	0.3217004024569235	0.32170040245692466	-159.95337005995003	54.1667	6.899611839851866	37.09446904493086	30.274766639429263	45.87148887477265	31.326132564307922	20.48677785617345	92.6940581638055	0.28987137920543365	0.05391639377766777	0.0660616157283683	0.04360006725440983	0.06384445944274467	0.09762394135578151	0.02157635602128536	0.10131654197335055	0.25735382514763727
600	1.0	1.0	-88.05691299582968	-3.9920663284861084	-70.03552342566469	0.4075888829280036	0.40758888292800377	-158.09243642149437	54.1667	9.628761533508968	130.06871238226887	18.54578305097135	78.82607127167249	28.078881878550728	53.53109705496293	189.07617812492506	0.20771103251854536	0.0153764880375078	0.10784122700579354	0.02537231613519136	0.07122790745908536	0.037361461095155674	0.010577747127290538	0.041507143117001134	0.10335648032961084
700	1.0	1.0	-86.77543100181155	-3.9920663284861084	-68.96703189663401	0.38456486039753685	0.3845648603975388	-155.74246289844558	54.1667	14.212636288820711	68.2116542763635	12.34737999969231	96.69628471303218	32.90384911007107	26.56795546876915	161.42310743594885	0.1407198467164848	0.02932050279702766	0.16197768271891194	0.020683317936521	0.06078316227714065	0.07527865673935717	0.012389799897722703	0.04852606931214922	0.1343857739188225
800	1.0	1.0	-95.72990360717452	-3.9920663284861084	-68.59003888451842	0.4496346819327605	0.4496346819327604	-164.31994249169293	54.1667	73.17829031029102	220.32558598273968	47.761569670665224	222.56783497590612	32.82761321678455	87.07914135943533	241.1484856673369	0.027330510066846166	0.009077475006269495	0.041874670656571494	0.008986024419101296	0.06092431962057518	0.022967612780477802	0.008293645280273456	0.016917740515442273	0.05383519659862357
900	1.0	1.0	-86.01449272068042	-3.9920663284861084	-73.09024521435231	0.4388609895744504	0.4388609895744515	-159.10473793503274	54.1667	26.184801811239087	62.65113907341198	15.312808617022148	170.35453258227304	11.76949836474162	41.43593278630424	311.84814557963784	0.07638018475058904	0.03192280347299805	0.13060961251593936	0.0117402218167227	0.16993077682830424	0.0482672855541714	0.006413377883913863	0.01836429491242149	0.05333192838743202
